rank,index,latitude,longitude,reward,heat_vulnerability,population_impact,accessibility,equity,coverage_efficiency
1,598,33.93880477972263,-117.68895484942593,0.618351939699867,0.765954436678636,0.21620942452590747,0.6547730722684035,0.6533304659373801,1.0
2,726,34.00393335601062,-118.26693387677236,0.6773690058017877,0.7790639982038553,0.5724383905268957,0.2569516916656356,0.8202950336591271,1.0
3,581,33.93880477972263,-118.1355750069209,0.6848316321929837,0.7778398634140694,0.491834887468776,0.5232504586794686,0.7409425955263007,1.0
4,584,33.93880477972263,-118.05675968501002,0.7231255680293496,0.8505401443352069,0.40896978119713107,0.7144876855245911,0.7734727958937052,1.0
5,775,34.02564288143995,-118.29320565074266,0.6913987402295062,0.7285468559446777,0.5455884807999313,0.2945808192145456,1.038820650444695,1.0
6,678,33.98222383058129,-118.21439032883178,0.6776699310978208,0.790233964938786,0.45684318827388404,0.39690504910710744,0.8489432595647247,1.0
7,925,34.09077145772794,-118.29320565074266,0.652697819405605,0.7166189594360616,0.5902153943396361,0.3512996080540576,0.6775492920664389,1.0
8,829,34.04735240686928,-118.18811855486148,0.6628760759722225,0.7337455576764289,0.5555845763700297,0.34722576911918646,0.7672341421672468,1.0
9,481,33.89538572886397,-118.1355750069209,0.6871011010751978,0.7645913959722693,0.49769216787588894,0.6072628062151035,0.6932109972244387,1.0
10,429,33.87367620343464,-118.18811855486148,0.7284453919008731,0.7948073949058142,0.5621056360240967,0.6064167488830278,0.7918258823023996,1.0
11,828,34.04735240686928,-118.21439032883178,0.6761123464442739,0.7486239825160399,0.515414417526166,0.3451733656153223,0.8897622889321338,1.0
12,675,33.98222383058129,-118.29320565074266,0.6705522786040045,0.7696513549860085,0.5235919329106881,0.33209028375228905,0.8030851904559071,1.0
13,836,34.04735240686928,-118.00421613706943,0.67851905624594,0.8079044942824862,0.40640869523102113,0.6191697970403913,0.6751655992217058,1.0
14,229,33.78683810171732,-118.18811855486148,0.7526229370459753,0.827360622543803,0.5338549870919316,0.6037735164997756,0.9267796327179665,1.0
15,633,33.96051430515196,-118.08303145898032,0.7017261188764011,0.8304964836701041,0.4803578358635583,0.5889053490241156,0.6841805884823858,1.0
16,725,34.00393335601062,-118.29320565074266,0.7170385932613267,0.7637850852285344,0.6470737022418349,0.4160737221941889,0.8368955302783502,1.0
17,2546,34.78547627146649,-117.7414983973665,0.6461728083724796,0.7212197157171721,0.1365103659471282,0.9131603415627292,0.8176284343351862,1.0
