latitude,longitude,dist_to_ac_1,dist_to_ac_3,dist_to_hydro_1,dist_to_hydro_3,install_year_hydro_3,dist_to_busline_1,dist_to_busline_3,dist_to_busstop_1,dist_to_busstop_3,dist_to_metroline_1,dist_to_metroline_3,dist_to_metrostop_1,dist_to_metrostop_3,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_veg1500,lashade_bld1800,lashade_veg1800,lashade_tot1200,lashade_tot1500,lashade_tot1800,dist_to_venue1,closest_venue_sport,dist_to_venue3,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,pm25_percentile,tree_percent_w,urban_heat_idx,urban_heat_idx_percentile,dist_to_vacant_park_1,dist_to_vacant_park_3,dist_to_vacant_street_1,dist_to_vacant_street_3,land_surface_temp_c
34.006784111867006,-118.27924916471542,2.178512977225411,2.910270186389464,1.136854936543442,1.7658665065444663,2021,0.0829534771954886,0.1048736527386301,0.1071115754895432,0.1764598309738309,1.2887394261611078,1.8724165740809748,1.403522309735758,1.6041959201389593,12235584,1190,921.0,Mediterranean,0.25,0.0603,0.1897,1.0,0.840390879478827,0.093670886075949,0.524834437086093,0.344191096634093,0.174870980547836,0.561377047664161,2.2,62,D,0.281216069489685,0.062975027144408,Yes,2387.0,2675,0.0004,0.1318,0.0571,0.1726,0.3627,0.2594,0.1323,0.2297,0.6221,0.8157515304716767,Flag Football,1.0167646999200717,5080,35.6,4.8,5.0,36.5,60.5,49.9,21.5,6.4,23.3,0.0,2.4,68.3,86.4,33602,41.9,18.1,7.3,7.9,45.7,30.6,53.5,1.04,46.3,5.8,100.0,12.0084908,0.215853658536585,4.1,4176.3,0.422054428189398,0.9055170206811164,0.9134885839774164,0.0143916899976422,0.0263273930003103,49.40377197265627
34.006784111867006,-118.2775029903843,2.0210946365485816,2.7563520240259667,0.97587708176887,1.6049376234124093,2021,0.0783346551443927,0.1555609905048541,0.0790898549850535,0.1708960195228494,1.319407634694005,1.8677609320007376,1.4795703110028189,1.6659358772363264,12235584,1379,1587.0,Mediterranean,0.25,0.0782,0.1718,1.0,0.489980607627666,0.049813200498132,0.624360286591607,0.384373030875866,0.174870980547836,0.561377047664161,4.69,68,D,0.300567107750473,0.083805923125394,Yes,2045.0,2675,0.0012,0.1651,0.0794,0.1884,0.4507,0.2219,0.1663,0.2678,0.6722,0.9130617839689432,Flag Football,1.134098578482977,5080,35.6,4.8,5.0,36.5,60.5,49.9,21.5,6.4,23.3,0.0,2.4,68.3,86.4,33602,41.9,18.1,7.3,7.9,45.7,30.6,53.5,1.04,46.3,5.8,100.0,12.0084908,0.215853658536585,4.1,4176.3,0.422054428189398,0.7442652395661458,0.7530258945315268,0.0308998079472392,0.0379379661835603,48.59523925781252
34.006784111867006,-118.2757568160532,1.864341910108056,2.6032962987984813,0.8150292096141817,1.4441014058409067,2021,0.1635208324194516,0.1888942799570783,0.1983229682896516,0.2044224938516924,1.3646054304075674,1.8720012973736548,1.5685709188609698,1.739418212552675,12235584,1379,1587.0,Mediterranean,0.25,0.0782,0.1718,1.0,0.489980607627666,0.049813200498132,0.624360286591607,0.384373030875866,0.174870980547836,0.561377047664161,4.69,68,D,0.300567107750473,0.083805923125394,Yes,2045.0,2675,0.0012,0.1651,0.0794,0.1884,0.4507,0.2219,0.1663,0.2678,0.6722,1.0266203193707195,Flag Football,1.2615899294562083,5080,35.6,4.8,5.0,36.5,60.5,49.9,21.5,6.4,23.3,0.0,2.4,68.3,86.4,33602,41.9,18.1,7.3,7.9,45.7,30.6,53.5,1.04,46.3,5.8,100.0,12.0084908,0.215853658536585,4.1,4176.3,0.422054428189398,0.583043971217572,0.5930083691562889,0.0254206241884457,0.0446248251579855,48.95705566406252
34.006784111867006,-118.27401064172209,1.7084380222359594,2.451264528367467,0.6544071731188605,1.2834047027283588,2021,0.0022161928434227,0.1052362809706295,0.1004926803017551,0.1272504837991447,1.4283833976046705,1.8868306186093553,1.6684526186665485,1.8234338376825745,12235584,1379,1587.0,Mediterranean,0.25,0.0782,0.1718,1.0,0.489980607627666,0.049813200498132,0.624360286591607,0.384373030875866,0.174870980547836,0.561377047664161,4.69,68,D,0.300567107750473,0.083805923125394,Yes,2045.0,2675,0.0012,0.1651,0.0794,0.1884,0.4507,0.2219,0.1663,0.2678,0.6722,1.151630555260298,Flag Football,1.3963909687883838,5080,35.6,4.8,5.0,36.5,60.5,49.9,21.5,6.4,23.3,0.0,2.4,68.3,86.4,33602,41.9,18.1,7.3,7.9,45.7,30.6,53.5,1.04,46.3,5.8,100.0,12.0084908,0.215853658536585,4.1,4176.3,0.422054428189398,0.4218881978026704,0.4339046643474111,0.0376866177746894,0.0454475144048677,49.9050231933594
34.006784111867006,-118.27226446739095,1.553638530724931,2.30046296678049,0.4942312069359671,1.1229424765410332,2021,0.1590884711542696,0.2145822810704743,0.1751451991273507,0.2071183245558202,1.5038232791952229,1.9115048595800124,1.777381935551748,1.9168081754469473,12235584,1535,1537.0,Mediterranean,0.3,0.0849,0.2151,1.0,0.465346534653465,0.077905491698595,0.420517560073937,0.296031229668185,0.118649732620321,0.500035687896763,3.8,62,D,0.257644762524398,0.038386467143786,Yes,2387.0,2675,0.0023,0.1598,0.0686,0.1823,0.4753,0.1734,0.1621,0.2509,0.6487,1.2847539796622585,Flag Football,1.5365125524854957,3160,38.0,5.2,4.9,26.7,58.8,48.4,26.4,8.7,25.7,0.0,0.9,72.2,78.0,35027,40.1,17.4,14.4,10.1,48.6,43.4,49.7,2.96,63.5,9.6,100.0,12.0527736,0.188254172015404,4.1,4443.3,0.442347019034136,0.2609193057056175,0.2750442117026435,0.047101423959959,0.0501154944390335,49.605779077883724
34.006784111867006,-118.27051829305984,1.4003097453523383,2.151160494544806,0.3351415008880296,0.962960495468876,2021,0.3203931595644882,0.321609071665928,0.3213929358021338,0.3298280469337261,1.592081227552799,1.943850264331667,1.8405536986019255,2.0184278172127876,12235584,2015,2205.0,Mediterranean,0.3,0.1257,0.1743,0.997732426303855,0.659059790050205,0.027563395810364,0.755573248407643,0.430385487528345,0.057180414065067,0.50495605575756,2.6,68,D,0.384580498866213,0.045804988662132,Yes,2045.0,2675,0.0015,0.2007,0.0502,0.2319,0.2937,0.3212,0.2022,0.2821,0.615,1.4237165579547748,Flag Football,1.6707855332589043,3081,38.2,5.7,10.2,25.4,62.1,48.6,26.1,10.5,21.1,0.0,1.3,69.3,72.7,30714,33.3,21.5,7.4,7.6,46.0,32.2,54.3,4.23,63.5,9.6,100.0,12.06807983,0.177086007702182,4.1,4784.2,0.467516123957842,0.1010345007367028,0.116437249712708,0.0295703490858414,0.029693825627319,49.09102783203127
34.006784111867006,-118.26877211872872,1.2489934236319846,2.003716651644406,0.1800410158596644,0.8044773399844991,2021,0.323058788825816,0.3242058550422877,0.3127387707981009,0.3233764506188398,1.6943406841835946,1.985443895689256,1.907904890833483,2.1052858818802553,12235584,2015,2205.0,Mediterranean,0.3,0.1257,0.1743,0.997732426303855,0.659059790050205,0.027563395810364,0.755573248407643,0.430385487528345,0.057180414065067,0.50495605575756,2.6,68,D,0.384580498866213,0.045804988662132,Yes,2045.0,2675,0.0015,0.2007,0.0502,0.2319,0.2937,0.3212,0.2022,0.2821,0.615,1.5669655653882657,Flag Football,1.7946677404078304,3081,38.2,5.7,10.2,25.4,62.1,48.6,26.1,10.5,21.1,0.0,1.3,69.3,72.7,30714,33.3,21.5,7.4,7.6,46.0,32.2,54.3,4.23,63.5,9.6,100.0,12.06807983,0.177086007702182,4.1,4784.2,0.467516123957842,0.0250289642906179,0.0378143619737159,0.0281110974889947,0.0358953218778202,49.41864193855116
34.006784111867006,-118.2670259443976,1.100519991784216,1.858627596031791,0.067448582308105,0.6604175347616561,2021,0.1652003160188519,0.165203639379478,0.1514636694566123,0.214502254966117,1.8005595325468156,2.028284636679886,1.9861004107256803,2.121092442942768,12235584,2015,2205.0,Mediterranean,0.3,0.1257,0.1743,0.997732426303855,0.659059790050205,0.027563395810364,0.755573248407643,0.430385487528345,0.057180414065067,0.50495605575756,2.6,68,D,0.384580498866213,0.045804988662132,Yes,2045.0,2675,0.0015,0.2007,0.0502,0.2319,0.2937,0.3212,0.2022,0.2821,0.615,1.713426253237838,Flag Football,1.923598656981058,3081,38.2,5.7,10.2,25.4,62.1,48.6,26.1,10.5,21.1,0.0,1.3,69.3,72.7,30714,33.3,21.5,7.4,7.6,46.0,32.2,54.3,4.23,63.5,9.6,100.0,12.06807983,0.177086007702182,4.1,4784.2,0.467516123957842,0.0364806500714114,0.0817567675832698,0.0294928524504033,0.0456560465168441,49.483468279595456
34.006784111867006,-118.26527977006648,0.956214632365251,1.7166051981406254,0.1694799611040249,0.5883056605066518,2021,0.0039015662887016,0.0039049484322233,0.0108140226179405,0.1009841514208589,1.9144899198289391,1.956181640813717,2.0739139867417453,2.141670711515251,12235584,2015,2205.0,Mediterranean,0.3,0.1257,0.1743,0.997732426303855,0.659059790050205,0.027563395810364,0.755573248407643,0.430385487528345,0.057180414065067,0.50495605575756,2.6,68,D,0.384580498866213,0.045804988662132,Yes,2045.0,2675,0.0015,0.2007,0.0502,0.2319,0.2937,0.3212,0.2022,0.2821,0.615,1.862341043893986,Flag Football,2.0567482086485014,3081,38.2,5.7,10.2,25.4,62.1,48.6,26.1,10.5,21.1,0.0,1.3,69.3,72.7,30714,33.3,21.5,7.4,7.6,46.0,32.2,54.3,4.23,63.5,9.6,100.0,12.06807983,0.177086007702182,4.1,4784.2,0.467516123957842,0.171920878517303,0.2226712499428093,0.0311052408180111,0.0367503985290727,49.8495702793692
34.006784111867006,-118.26353359573535,0.8182854543856393,1.578719482398843,0.3239401260522732,0.5343804449034654,2021,0.1573869060566956,0.1573937875944572,0.1472838260785622,0.2030063584108639,1.8722343528974552,1.9278172997785912,1.917413201541536,2.1430389278074276,12235584,2015,2205.0,Mediterranean,0.3,0.1257,0.1743,0.997732426303855,0.659059790050205,0.027563395810364,0.755573248407643,0.430385487528345,0.057180414065067,0.50495605575756,2.6,68,D,0.384580498866213,0.045804988662132,Yes,2045.0,2675,0.0015,0.2007,0.0502,0.2319,0.2937,0.3212,0.2022,0.2821,0.615,2.013165417550428,Flag Football,2.193437029568345,3081,38.2,5.7,10.2,25.4,62.1,48.6,26.1,10.5,21.1,0.0,1.3,69.3,72.7,30714,33.3,21.5,7.4,7.6,46.0,32.2,54.3,4.23,63.5,9.6,100.0,12.06807983,0.177086007702182,4.1,4784.2,0.467516123957842,0.3313948003729506,0.3748794601380516,0.0214888416545709,0.0256779599215585,49.79965354915805
