latitude,longitude,dist_to_ac_1,dist_to_ac_3,dist_to_hydro_1,dist_to_hydro_3,install_year_hydro_3,dist_to_busline_1,dist_to_busline_3,dist_to_busstop_1,dist_to_busstop_3,dist_to_metroline_1,dist_to_metroline_3,dist_to_metrostop_1,dist_to_metrostop_3,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_veg1500,lashade_bld1800,lashade_veg1800,lashade_tot1200,lashade_tot1500,lashade_tot1800,dist_to_venue1,closest_venue_sport,dist_to_venue3,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,pm25_percentile,tree_percent_w,urban_heat_idx,urban_heat_idx_percentile,dist_to_vacant_park_1,dist_to_vacant_park_3,dist_to_vacant_street_1,dist_to_vacant_street_3
34.503252440885205,-118.92372822602971,43.716597017320105,44.117591916776725,41.61657685576681,43.98801316389606,2021,36.52869544188955,37.68015215426099,36.553649860770605,36.59635928543727,62.283692760662284,62.286369668293105,62.543508292755945,65.04916859244692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9098869341822,Basketball (3x3),60.88516870964818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.72286042710991,38.728086678005376,38.552135496775875,38.76536093883232
34.503252440885205,-118.89745645205942,42.32473003146259,42.63571268660612,39.80361517072798,42.36870341445875,2021,36.20619147096291,36.88842856341016,36.229605302918685,36.26122172061624,60.35252383223834,60.35507550879822,60.61520361977825,63.29543347679356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1451590263104,Basketball (3x3),59.27714627378796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.021065972698764,37.02611374545811,36.64050321431634,36.83659629110887
34.503252440885205,-118.87118467808912,41.02817198284645,41.24224159566629,38.05774527124372,40.82731280706652,2021,36.04328411486022,36.22903816881933,36.06503330725917,36.08525547254465,58.45754113699504,58.45995777799306,58.72311249094471,61.58562651610862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.434579371822885,Basketball (3x3),57.674376400801464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.40246591348876,35.40730662502043,34.79161945369382,34.968374299521145
34.503252440885205,-118.84491290411883,39.83623016878417,39.94639980615009,36.38862544423158,39.37294877030126,2021,35.03700613123418,35.18166742127311,35.05166316113084,35.12731876363609,56.602379345332636,56.60465027461402,56.87084962387125,59.923384003951526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.78384446306637,Basketball (3x3),56.07640509358058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.87898653324325,33.883587407990575,33.016027705674055,33.170924881930986
34.503252440885205,-118.81864113014854,38.71528472466957,38.7579451717681,34.80729878574332,38.01559099022077,2021,33.574692981977954,33.70922998735919,33.5910021006397,33.659494699704034,54.79108360407567,54.79319722255651,55.06243468227542,58.31264268749911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1992338220565,Basketball (3x3),54.53849279150654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.464022241916645,32.46834621214177,31.326193315364552,31.456380539991397
34.503252440885205,-118.79236935617824,37.402065190204326,37.552712712363835,33.32626507422555,36.76603058944455,2021,32.22738936159558,32.350445368950524,32.24543684957734,32.30589862235103,53.02814926195529,53.030093007412084,53.30233093178103,56.75765290096021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.687628357859765,Basketball (3x3),53.065848131038344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.929931995903264,30.9402691515094,29.73673986866079,29.839032901467863
34.503252440885205,-118.76609758220795,36.00606302768791,36.364890958570705,31.959470483709246,35.58418287406381,2021,31.010089539908908,31.120202054967407,31.029943970060355,31.08145728104584,51.31856072793305,51.32032105254783,51.59548292789997,55.259273832525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.25650940506979,Basketball (3x3),51.66404597319043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.404553245055254,29.413273716516773,28.264607252352103,28.335526118044587
34.503252440885205,-118.73982580823765,34.7020138887025,34.988935557600804,30.722166006765264,34.28244531721184,2021,29.938655591436216,30.012269821205745,29.960358855933553,30.001987016071933,49.66782698646383,49.66938936087973,49.947350805850625,53.6701195232096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.91393015404794,Basketball (3x3),50.3390065586222,2966.0,27.2,12.1,3.9,1.2,10.6,52.9,6.5,11.5,5.7,0.0,0.6,47.7,5.1,126474.0,2.6,0.0,2.6,6.0,13.8,6.2,75.4,-2.78,26.6,10.8,0.0,7.997537218,0.871373555840822,3.5,,,28.004755436803688,28.0116509232215,26.905629791277665,26.964903716713213
34.503252440885205,-118.71355403426736,32.85217368532499,33.724531343386296,29.63057779798139,33.105338917260106,2021,28.39616900749719,28.607193765462966,28.39023369294633,28.56733196055107,48.08201027839808,48.08335923327896,48.36393776187159,52.12290541076271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.668449964360605,Basketball (3x3),49.09695614861614,2966.0,27.2,12.1,3.9,1.2,10.6,52.9,6.5,11.5,5.7,0.0,0.6,47.7,5.1,126474.0,2.6,0.0,2.6,6.0,13.8,6.2,75.4,-2.78,26.6,10.8,0.0,7.997537218,0.871373555840822,3.5,,,26.750260284065554,26.755111799382206,25.664548962306238,25.74838805122216
34.503252440885205,-118.68728226029707,31.080062411321393,32.583362178403135,28.701336684917827,32.06582933581407,2021,26.745105533501448,27.26256300060707,26.73954286287122,26.91786356979556,46.56774323628106,46.56886245462175,46.85180614352439,50.64406881946129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.52902164211181,Basketball (3x3),47.91364878363425,2966.0,27.2,12.1,3.9,1.2,10.6,52.9,6.5,11.5,5.7,0.0,0.6,47.7,5.1,126474.0,2.6,0.0,2.6,6.0,13.8,6.2,75.4,-2.78,26.6,10.8,0.0,7.997537218,0.871373555840822,3.5,,,25.66238591247539,25.664974794501223,24.598693118193093,24.708743486985593
