latitude,longitude,dist_to_ac_1,dist_to_ac_3,dist_to_hydro_1,dist_to_hydro_3,install_year_hydro_3,dist_to_busline_1,dist_to_busline_3,dist_to_busstop_1,dist_to_busstop_3,dist_to_metroline_1,dist_to_metroline_3,dist_to_metrostop_1,dist_to_metrostop_3,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_veg1500,lashade_bld1800,lashade_veg1800,lashade_tot1200,lashade_tot1500,lashade_tot1800,dist_to_venue1,closest_venue_sport,dist_to_venue3,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,pm25_percentile,tree_percent_w,urban_heat_idx,urban_heat_idx_percentile,dist_to_vacant_park_1,dist_to_vacant_park_3,dist_to_vacant_street_1,dist_to_vacant_street_3,land_surface_temp_c,heat_temp_severity,heat_uhi_intensity,heat_canopy_deficit,heat_air_quality_impact,heat_vegetation_deficit,HEAT_VULNERABILITY_INDEX,pop_density_score,pop_vulnerable_score,pop_olympic_proximity,pop_transit_access,POPULATION_IMPACT_INDEX,access_cooling_gap,access_hydration_gap,access_planting_opportunity,access_multimodal_transit,access_infrastructure_gap,ACCESSIBILITY_INDEX,equity_social_vulnerability,equity_economic_disadvantage,equity_environmental_justice,equity_health_vulnerability,equity_education_gap,equity_housing_burden,EQUITY_INDEX,coverage_existing_shade,coverage_spatial_isolation,coverage_priority_score,COVERAGE_EFFICIENCY_INDEX,interact_heat_population,interact_heat_equity,interact_population_access,interact_equity_access,REWARD_POTENTIAL_SCORE,priority_rank,priority_tier
34.03717744746802,-118.29147238503325,2.886628452507821,4.6150306048624055,1.1603338517803667,1.7391281155368554,2020,0.0067979800383784,0.0067979800383784,0.2814590130804241,0.2892769823073486,1.9594416656610292,2.0067246820189766,1.877127047655493,2.01523233208654,12235584,1332,1599.0,Mediterranean,0.3,0.0679,0.2321,0.963101938711695,0.41400875547217,0.032873806998939,0.355084745762712,0.262038774233896,0.362055335968379,0.449128960108227,1.98,58,D,0.185115697310819,0.076923076923077,Yes,2531.0,2675,0.0013,0.1508,0.041,0.1656,0.286,0.181,0.152,0.2066,0.467,1.530554602483746,Media Village/Main Press Center,1.8863722969011576,2919,30.7,10.5,7.4,42.6,48.5,48.9,27.8,11.8,18.3,0.0,0.0,64.6,91.0,27740,32.3,25.1,9.7,9.8,52.7,32.2,59.4,3.04,46.8,6.8,100.0,12.07444266,0.173106546854942,4.1,4877.3,0.475696083058046,0.8880176558608025,0.978341207165955,0.1127462703456183,0.1222372231545589,47.99428710937502,0.5281115059444357,0.6096896628711768,0.860383064516129,0.3564176780930701,0.8582499192767195,0.6425703661403063,0.19792728508324842,0.4755555555555556,0.04879342959357761,0.011061065234425849,0.18333433386670187,0.5952895947263614,0.5149066544412156,0.061368301100693384,1.0000000000000002,0.700298462085177,0.5743726024706894,0.6222826086956523,0.2822349570200572,1.0,0.2663043478260869,0.7039187227866472,0.5346534653465347,0.5682323502791631,0.9111894838089131,0.0003286930227828222,0.5468451674944609,0.4861211147753856,0.11780521003881576,0.3651292693716486,0.1053022184652478,0.3263770938378793,0.48732617782231824,292,Medium-High
34.03717744746802,-118.28972621070211,2.849231359232878,4.52860997777735,1.274988819674295,1.7441067666802204,2020,0.1680476091371134,0.1680476091371134,0.3310272527814478,0.3336573886703061,1.731912812806905,1.7566370966744624,1.7370637996097875,1.8856106891178237,12235584,1332,1599.0,Mediterranean,0.3,0.0679,0.2321,0.963101938711695,0.41400875547217,0.032873806998939,0.355084745762712,0.262038774233896,0.362055335968379,0.449128960108227,1.98,58,D,0.185115697310819,0.076923076923077,Yes,2531.0,2675,0.0013,0.1508,0.041,0.1656,0.286,0.181,0.152,0.2066,0.467,1.4660550071166398,Media Village/Main Press Center,1.7859804235968193,2919,30.7,10.5,7.4,42.6,48.5,48.9,27.8,11.8,18.3,0.0,0.0,64.6,91.0,27740,32.3,25.1,9.7,9.8,52.7,32.2,59.4,3.04,46.8,6.8,100.0,12.07444266,0.173106546854942,4.1,4877.3,0.475696083058046,0.7653638423377647,0.85796106738229,0.1309749692466903,0.1359266241611072,47.13344726562502,0.4397189789484903,0.6096896628711768,0.860383064516129,0.3564176780930701,0.8582499192767195,0.6248918607411171,0.19792728508324842,0.4755555555555556,0.05231667747128647,0.005793155806740433,0.18289816847920773,0.5870172794775088,0.5674328419598198,0.05193686130841639,1.0000000000000002,0.7241411201020617,0.5861056205695614,0.6222826086956523,0.2822349570200572,1.0,0.2663043478260869,0.7039187227866472,0.5346534653465347,0.5682323502791631,0.9111894838089131,0.0003286930578685343,0.5468451675084952,0.48612111479175896,0.11429157682711445,0.35508377069924446,0.10719764453754224,0.33304417428806926,0.4842601884770997,325,Medium-High
34.03717744746802,-118.287980036371,2.820567743408313,4.4468606193504785,1.3988625802612624,1.6838377120023087,2020,0.316746727696117,0.3209486814002582,0.3029056941572271,0.3316487001696118,1.6051946385142917,1.6199589041665987,1.6009944226514443,1.7606556987513151,12235584,1332,1599.0,Mediterranean,0.3,0.0679,0.2321,0.963101938711695,0.41400875547217,0.032873806998939,0.355084745762712,0.262038774233896,0.362055335968379,0.449128960108227,1.98,58,D,0.185115697310819,0.076923076923077,Yes,2531.0,2675,0.0013,0.1508,0.041,0.1656,0.286,0.181,0.152,0.2066,0.467,1.4170559640561944,Media Village/Main Press Center,1.6943870364281033,2919,30.7,10.5,7.4,42.6,48.5,48.9,27.8,11.8,18.3,0.0,0.0,64.6,91.0,27740,32.3,25.1,9.7,9.8,52.7,32.2,59.4,3.04,46.8,6.8,100.0,12.07444266,0.173106546854942,4.1,4877.3,0.475696083058046,0.6595408169145411,0.738112714916353,0.1233202355549369,0.1261774717011307,46.76806030270431,0.40220041237838267,0.6096896628711768,0.860383064516129,0.3564176780930701,0.8582499192767195,0.6173881474270957,0.19792728508324842,0.4755555555555556,0.05519346343966764,0.009394433818314368,0.18451768447419653,0.5806768277068447,0.6241823792606829,0.05850693531550791,1.0000000000000002,0.736753429678092,0.6000239143922255,0.6222826086956523,0.2822349570200572,1.0,0.2663043478260869,0.7039187227866472,0.5346534653465347,0.5682323502791631,0.9111894838089131,0.0003286929876953337,0.5468451674804259,0.48612111475901143,0.11391903138506157,0.350819918046997,0.11071502331279696,0.3409529990987976,0.4851976122428986,319,Medium-High
34.03717744746802,-118.2862338620399,2.800905745116856,4.369982979181127,1.5297172065367095,1.6270070216335446,2020,0.2059155579021563,0.2059155579021563,0.1988372545394961,0.2513212389566551,1.4854080012154225,1.487106970567126,1.4700283825499083,1.6412240933948412,12235584,1332,1599.0,Mediterranean,0.3,0.0679,0.2321,0.963101938711695,0.41400875547217,0.032873806998939,0.355084745762712,0.262038774233896,0.362055335968379,0.449128960108227,1.98,58,D,0.185115697310819,0.076923076923077,Yes,2531.0,2675,0.0013,0.1508,0.041,0.1656,0.286,0.181,0.152,0.2066,0.467,1.3852033624558606,Media Village/Main Press Center,1.6125668395637405,2919,30.7,10.5,7.4,42.6,48.5,48.9,27.8,11.8,18.3,0.0,0.0,64.6,91.0,27740,32.3,25.1,9.7,9.8,52.7,32.2,59.4,3.04,46.8,6.8,100.0,12.07444266,0.173106546854942,4.1,4877.3,0.475696083058046,0.5798380732766723,0.636906778824705,0.1204432860814244,0.1302451192578853,46.60833129882815,0.3857991614492269,0.6096896628711768,0.860383064516129,0.3564176780930701,0.8582499192767195,0.6141078972412645,0.19792728508324842,0.4755555555555556,0.05716536827356863,0.028418066615789293,0.1897665688820405,0.5763275525614869,0.684130018370222,0.06245517222783026,1.0000000000000002,0.7380927404957047,0.6122010967310489,0.6222826086956523,0.2822349570200572,1.0,0.2663043478260869,0.7039187227866472,0.5346534653465347,0.5682323502791631,0.9111894838089131,0.0003286929876953337,0.5468451674804259,0.48612111475901143,0.11653714858283946,0.34895597377439846,0.11617530159247333,0.3478724680389652,0.4879611947568749,285,Medium-High
34.03717744746802,-118.28448768770878,2.7904356527391996,4.298157565317108,1.5271392251672269,1.5271392251672269,2019,0.0446659288052215,0.0446659288052215,0.0592259150191275,0.129323539873496,1.312861770847258,1.3223733670741449,1.3456565521960178,1.5187154474862634,12235584,1332,1599.0,Mediterranean,0.3,0.0679,0.2321,0.963101938711695,0.41400875547217,0.032873806998939,0.355084745762712,0.262038774233896,0.362055335968379,0.449128960108227,1.98,58,D,0.185115697310819,0.076923076923077,Yes,2531.0,2675,0.0013,0.1508,0.041,0.1656,0.286,0.181,0.152,0.2066,0.467,1.3716922155443405,Media Village/Main Press Center,1.5117789738237202,2919,30.7,10.5,7.4,42.6,48.5,48.9,27.8,11.8,18.3,0.0,0.0,64.6,91.0,27740,32.3,25.1,9.7,9.8,52.7,32.2,59.4,3.04,46.8,6.8,100.0,12.07444266,0.173106546854942,4.1,4877.3,0.475696083058046,0.537992674037863,0.5626821483089922,0.1143812005217962,0.1234443430618738,46.35674438476565,0.3599657811119261,0.6096896628711768,0.860383064516129,0.3564176780930701,0.8582499192767195,0.6089412211738043,0.19792728508324842,0.4755555555555556,0.0580275878272269,0.1406437379370579,0.2180385416007722,0.574011546229235,0.6829489833455715,0.06786385457604306,1.0000000000000002,0.7093935549761402,0.6068435878253979,0.6222826086956523,0.2822349570200572,1.0,0.2663043478260869,0.7039187227866472,0.5346534653465347,0.5682323502791631,0.9111894838089131,0.0003286930227828222,0.5468451674944609,0.4861211147753856,0.13277265578532957,0.3460201012894545,0.13231529086922988,0.34482815816186557,0.492407683336827,236,Medium-High
34.03717744746802,-118.28274151337766,2.789260979603606,4.231541866044867,1.3814841644264113,1.3814841644264113,2019,0.1165837002949326,0.1165837002949326,0.1066636708086884,0.1461426381493322,1.1584011879674714,1.1644731955445196,1.2298810813867302,1.377005636656847,12235584,1474,1589.0,Mediterranean,0.25,0.1249,0.1251,0.855884203901825,0.510383889238515,0.052269601100413,0.865023474178404,0.463813719320327,0.111781405251952,0.339094590153148,1.47,79,D,0.269981120201384,0.193832599118943,Yes,1235.0,2675,0.0016,0.3648,0.0635,0.3963,0.2799,0.4641,0.3663,0.4598,0.7441,1.2792849910372142,Fencing,1.4126466717317818,3167,16.3,13.6,7.0,32.5,40.2,51.4,12.9,11.3,16.5,4.9,0.0,61.5,84.2,26742,37.1,23.4,9.3,5.2,52.0,20.1,57.5,2.06,54.5,8.0,100.0,12.17492801,0.123684210526316,4.1,5237.3,0.500078653452887,0.4412495933871768,0.455001897358055,0.0772163151883651,0.0939501617954726,45.67769775390627,0.2902400962641245,0.6900647465952223,0.3210685483870968,0.6030955292830029,0.11333548595414922,0.40356088129671913,0.24006116207951078,0.30814814814814817,0.06437743818998581,0.07361417496193709,0.17155023084489548,0.5737517060747997,0.6162209106415284,0.10890158938301156,1.0000000000000002,0.6907083736485236,0.5979165159495727,0.5335144927536233,0.35100286532951286,1.0,0.31453804347826086,0.5834542815674891,0.4323432343234326,0.5358088195753864,0.09939083039435725,0.0003286930227828222,0.059765975445727475,0.05316183295428919,0.06923096234642163,0.21623147943439772,0.10257271633712484,0.32036894261556825,0.369226631521891,1146,Low
34.03717744746802,-118.28099533904654,2.7973934356472734,4.1702684529528655,1.239694413331282,1.239694413331282,2019,0.1252527876543519,0.1761142696806483,0.1477283879265283,0.1889733114566278,1.0127450377732523,1.0172236892262416,1.1253582537335642,1.2401555757637015,12235584,1474,1589.0,Mediterranean,0.25,0.1249,0.1251,0.855884203901825,0.510383889238515,0.052269601100413,0.865023474178404,0.463813719320327,0.111781405251952,0.339094590153148,1.47,79,D,0.269981120201384,0.193832599118943,Yes,1235.0,2675,0.0016,0.3648,0.0635,0.3963,0.2799,0.4641,0.3663,0.4598,0.7441,1.1252843877785828,Fencing,1.321274121873428,3167,16.3,13.6,7.0,32.5,40.2,51.4,12.9,11.3,16.5,4.9,0.0,61.5,84.2,26742,37.1,23.4,9.3,5.2,52.0,20.1,57.5,2.06,54.5,8.0,100.0,12.17492801,0.123684210526316,4.1,5237.3,0.500078653452887,0.3437255526678198,0.3609047738927737,0.0516433192598939,0.0558701912536138,45.68654785156252,0.2911488396287316,0.6900647465952223,0.3210685483870968,0.6030955292830029,0.11333548595414922,0.40374262996964055,0.24006116207951078,0.30814814814814817,0.07708786340606563,0.04870282865612322,0.16850000057246195,0.575550622360781,0.5512636288852847,0.1666076648170671,1.0000000000000002,0.6733014446228285,0.5933446721371924,0.5335144927536233,0.35100286532951286,1.0,0.31453804347826086,0.5834542815674891,0.4323432343234326,0.5358088195753864,0.09939083039435725,0.0003286929876953337,0.05976597543169248,0.05316183293791502,0.06803063338101173,0.21632886197629514,0.09997857759478418,0.31791930837917376,0.3676042297915456,1149,Low
34.03717744746802,-118.27924916471542,2.81475235082094,4.11444443007371,1.1032612740419423,1.1032612740419423,2019,0.0468755998866082,0.1652141281113819,0.1271732631614176,0.1744452817639343,0.8709805513328602,0.8726408601881843,1.0186416496597306,1.1097680762377888,12235584,1474,1589.0,Mediterranean,0.25,0.1249,0.1251,0.855884203901825,0.510383889238515,0.052269601100413,0.865023474178404,0.463813719320327,0.111781405251952,0.339094590153148,1.47,79,D,0.269981120201384,0.193832599118943,Yes,1235.0,2675,0.0016,0.3648,0.0635,0.3963,0.2799,0.4641,0.3663,0.4598,0.7441,0.9736327581650138,Fencing,1.2214889458515343,3167,16.3,13.6,7.0,32.5,40.2,51.4,12.9,11.3,16.5,4.9,0.0,61.5,84.2,26742,37.1,23.4,9.3,5.2,52.0,20.1,57.5,2.06,54.5,8.0,100.0,12.17492801,0.123684210526316,4.1,5237.3,0.500078653452887,0.305932198858374,0.3247962207445075,0.1278425278119575,0.1316671222782733,47.51430664062502,0.4788262796046654,0.6900647465952223,0.3210685483870968,0.6030955292830029,0.11333548595414922,0.4412781179648273,0.24006116207951078,0.30814814814814817,0.09316775051945925,0.06072804536219128,0.17552627652732736,0.5793904507035597,0.4887603393226943,0.07383324014941238,1.0000000000000002,0.647051844275658,0.5578071748902649,0.5335144927536233,0.35100286532951286,1.0,0.31453804347826086,0.5834542815674891,0.4323432343234326,0.5358088195753864,0.09939083039435725,0.0003286929876953337,0.05976597543169248,0.05316183293791502,0.07745590495935285,0.23644070749118223,0.09790981642871589,0.29887800392863395,0.3735139457294325,1142,Low
34.03717744746802,-118.2775029903843,2.8411686152469846,4.064152230185406,0.97443732364978,0.97443732364978,2019,0.0299466932228185,0.1390347448634219,0.0297627162774365,0.080482066397835,0.7248760409530067,0.7273678504874063,0.8765305781741369,0.9879627481331136,12235584,1432,1401.0,Mediterranean,0.3,0.1237,0.1763,0.760885082084226,0.741420590582602,0.066945606694561,0.180286436394271,0.152748037116345,0.111781405251952,0.339094590153148,0.19,72,D,0.077087794432548,0.075660242683797,Yes,1755.0,2675,0.0032,0.3502,0.0629,0.3731,0.3513,0.4004,0.3534,0.436,0.7496,0.8256255032198868,Fencing,1.0850154771872564,3167,16.3,13.6,7.0,32.5,40.2,51.4,12.9,11.3,16.5,4.9,0.0,61.5,84.2,26742,37.1,23.4,9.3,5.2,52.0,20.1,57.5,2.06,54.5,8.0,100.0,12.17492801,0.123684210526316,4.1,5237.3,0.500078653452887,0.3479122991451043,0.3644188035909663,0.066944472748697,0.0916923347182413,46.12236938476565,0.3358997499388954,0.6900647465952223,0.5791330645161292,0.6030955292830029,0.18824669034549568,0.47928795613574915,0.24006116207951078,0.30814814814814817,0.1139417686293431,0.26874707333241543,0.23272453804735438,0.5852337836445107,0.4297430014830801,0.13157026687451234,1.0000000000000002,0.6094870429180916,0.551206818984039,0.5335144927536233,0.35100286532951286,1.0,0.31453804347826086,0.5834542815674891,0.4323432343234326,0.5358088195753864,0.17569733889067007,0.0003286929876953337,0.10554988052948018,0.09385863746928186,0.11154206818335287,0.25680671401379535,0.12827935231661217,0.29534147502174163,0.40196607183260724,1067,Medium-Low
34.03717744746802,-118.2757568160532,2.8763926966261373,4.019451592634599,0.8566622527504926,0.8566622527504926,2019,0.1073358873810387,0.1648052453818383,0.0951537347555663,0.1320873935653767,0.5863206153740979,0.5881011159924387,0.7422844728734682,0.8774665828953019,12235584,1432,1401.0,Mediterranean,0.3,0.1237,0.1763,0.760885082084226,0.741420590582602,0.066945606694561,0.180286436394271,0.152748037116345,0.111781405251952,0.339094590153148,0.19,72,D,0.077087794432548,0.075660242683797,Yes,1755.0,2675,0.0032,0.3502,0.0629,0.3731,0.3513,0.4004,0.3534,0.436,0.7496,0.6836337651410814,Fencing,0.955982071709086,3167,16.3,13.6,7.0,32.5,40.2,51.4,12.9,11.3,16.5,4.9,0.0,61.5,84.2,26742,37.1,23.4,9.3,5.2,52.0,20.1,57.5,2.06,54.5,8.0,100.0,12.17492801,0.123684210526316,4.1,5237.3,0.500078653452887,0.447764031988413,0.4605747800984756,0.110343361879339,0.1288579200469148,47.29180297851565,0.4559792179793307,0.6900647465952223,0.5791330645161292,0.6030955292830029,0.18824669034549568,0.5033038497438362,0.24006116207951078,0.30814814814814817,0.14124683211772465,0.09048426504801027,0.19498510184834844,0.5930254241171361,0.3757874200311186,0.07463092110098574,1.0000000000000002,0.606261056508843,0.5299409643516168,0.5335144927536233,0.35100286532951286,1.0,0.31453804347826086,0.5834542815674891,0.4323432343234326,0.5358088195753864,0.17569733889067007,0.0003286929876953337,0.10554988052948018,0.09385863746928186,0.09813675240296776,0.2696746416189925,0.10333059290771199,0.2839470425538817,0.3954828099387975,1110,Medium-Low
