latitude,longitude,dist_to_ac_1,dist_to_ac_3,dist_to_hydro_1,dist_to_hydro_3,install_year_hydro_3,dist_to_busline_1,dist_to_busline_3,dist_to_busstop_1,dist_to_busstop_3,dist_to_metroline_1,dist_to_metroline_3,dist_to_metrostop_1,dist_to_metrostop_3,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_veg1500,lashade_bld1800,lashade_veg1800,lashade_tot1200,lashade_tot1500,lashade_tot1800,dist_to_venue1,closest_venue_sport,dist_to_venue3,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,pm25_percentile,tree_percent_w,urban_heat_idx,urban_heat_idx_percentile,dist_to_vacant_park_1,dist_to_vacant_park_3,dist_to_vacant_street_1,dist_to_vacant_street_3,land_surface_temp_c,temp_severity_norm,uhi_norm,canopy_gap_norm,canopy_pct_of_goal,pm25_norm,vegetation_deficit,avg_shade_coverage,population_norm,vulnerable_population,vulnerable_pop_norm,olympic_proximity,olympic_proximity_norm,cooling_distance_norm,hydration_distance_norm,avg_transit_distance,avg_transit_distance_norm,transit_access_score,transit_access_norm,avg_vacant_distance,planting_opportunity,planting_opportunity_norm,avg_infrastructure_distance,cva_transit_norm,sovi_norm,poverty_norm,env_justice_binary,avg_health_vulnerability,health_vulnerability_norm,education_gap_norm,rent_burden_norm,limited_english_norm,shade_gap,spatial_isolation_km,spatial_isolation_norm,heat_x_population,heat_x_poverty,heat_x_vulnerable,heat_x_sovi,population_x_transit_gap,poverty_x_cooling_gap,veg_deficit_x_uhi,canopy_gap_x_pm25,olympic_x_population,shade_gap_x_isolation
34.00099490508586,-118.31068030267554,3.815207272647136,4.321340381587111,1.4024539598819863,1.5853425300609083,2020,0.1632699729245103,0.2096145334157318,0.172268169725037,0.2289583468541123,1.8557285550179692,1.8798206735182097,1.929904898735457,2.089349484155262,12235584,1122,1074.0,Mediterranean,0.25,0.0657,0.1843,0.902234636871508,0.318435754189944,0.043933054393305,0.455284552845528,0.312849162011173,0.104429451452039,0.465624924060927,2.0,71,C,0.174115456238361,0.138733705772812,Yes,1823.0,2675,0.0006,0.1066,0.0572,0.1217,0.3302,0.1585,0.1072,0.1789,0.4888,2.3523360226463756,Diving,2.5717745851218927,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.906621902333962,0.9111419859659996,0.0553693756222898,0.0675628883058412,48.0421634796774,0.5330275346170694,0.11522661308327753,0.6194556451612903,0.2627989488042048,0.059782390559654175,1.0,0.25830000000000003,0.9459734964322121,37.0,0.41333333333333333,0.4077744610711527,0.020127266878882055,0.8006931718740774,0.625827676301655,1.051086534230247,0.7180343614472163,0.942430205021345,0.008049527281265716,0.4809956389781259,2.0366779674076705,0.021601607957676232,1.7966431340847198,1.0000000000000002,0.29800724637681164,0.09025787965616039,1.0,45.6,0.7072010869565217,0.5166908563134978,0.6435643564356437,0.17153996101364524,1.0,0.1609446696657882,0.0018403007726872644,0.5042299206163511,0.04810993507288732,0.22031804764172203,0.1588460678342535,0.679241475456694,0.07226886794851982,0.11522661308327753,0.037032539313414804,0.019039861023040314,0.0018403007726872644
34.00099490508586,-118.30893412834442,3.706231450950383,4.282581242088473,1.434439061942511,1.6195595409235464,2021,0.00195191160228,0.1020959279779234,0.0869103383228177,0.1557938350805954,1.9204047690495192,1.9539782845512452,1.9229653293194224,2.1835383036314613,12235584,1122,1074.0,Mediterranean,0.25,0.0657,0.1843,0.902234636871508,0.318435754189944,0.043933054393305,0.455284552845528,0.312849162011173,0.104429451452039,0.465624924060927,2.0,71,C,0.174115456238361,0.138733705772812,Yes,1823.0,2675,0.0006,0.1066,0.0572,0.1217,0.3302,0.1585,0.1072,0.1789,0.4888,2.2189828177265527,Diving,2.436244385178759,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.9542705228110854,0.961194057199323,0.0134168278147372,0.0201205715118979,47.5808044433594,0.4856543892304517,0.11522661308327753,0.6194556451612903,0.2627989488042048,0.059782390559654175,1.0,0.25830000000000003,0.9459734964322121,37.0,0.41333333333333333,0.43122354868517915,0.023398070856586163,0.7765874921906161,0.6404808178051884,1.0049378338211201,0.6858879492345223,0.9852820209047869,0.009374975669263673,0.4838436753129113,2.02493228118468,0.02125035917212846,1.7425269504052372,1.0000000000000002,0.29800724637681164,0.09025787965616039,1.0,45.6,0.7072010869565217,0.5166908563134978,0.6435643564356437,0.17153996101364524,1.0,0.16094466966657003,0.0018403008077880756,0.4594161806379808,0.04383413541764818,0.20073714754858668,0.14472852722537918,0.6488318214981007,0.07009314041262002,0.11522661308327753,0.037032539313414804,0.022133954897973457,0.0018403008077880756
34.00099490508586,-118.3071879540133,3.6011885367004512,4.245311606021179,1.439592554936906,1.6456068812762388,2021,0.1593662965185948,0.2070812307901403,0.1862303299980887,0.2232340766783336,1.918419050061881,2.0064618367067735,1.9295322894485856,2.214633554140334,12235584,1061,1175.0,Mediterranean,0.25,0.0623,0.1877,0.982978723404255,0.374468085106383,0.024561403508772,0.371061843640607,0.27063829787234,0.104429451452039,0.465624924060927,3.19,70,C,0.180425531914894,0.090212765957447,Yes,1897.0,2675,0.0006,0.1217,0.056,0.144,0.3672,0.1907,0.1223,0.2,0.5579,2.089575242170109,Diving,2.3040776469291653,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.8633695655108324,0.9356676549561812,0.0083082005646043,0.0107734097992528,48.0421634796774,0.5330275346170694,0.11522661308327753,0.636592741935484,0.24919900320398722,0.059782390559654175,0.927994833710042,0.2934,0.9459734964322121,37.0,0.41333333333333333,0.4567095849188039,0.02695299930672288,0.7533517798601111,0.6428417564053356,1.057881309723337,0.7227674883166003,0.9364336569005749,0.007864048209343864,0.4358388830377184,2.242962733951132,0.027770449211375968,1.7423371405451487,1.0000000000000002,0.29800724637681164,0.09025787965616039,1.0,45.6,0.7072010869565217,0.5166908563134978,0.6435643564356437,0.17153996101364524,0.9323501122154536,0.16094466966657003,0.0018403008077880756,0.5042299206163511,0.04810993507288732,0.22031804764172203,0.1588460678342535,0.6837188880303824,0.06799593428536814,0.10692970164718749,0.03805703592582824,0.025496822993515633,0.0017158046646514023
34.00099490508586,-118.30544177968218,3.5004326104083816,4.209631947404582,1.4626268060905805,1.685240859438803,2021,0.3026069594852391,0.3026069594852391,0.2966754701719458,0.3143642042268518,1.9158262088759128,2.058840952455331,1.9494692900723416,2.2433485475351165,12235584,1061,1175.0,Mediterranean,0.25,0.0623,0.1877,0.982978723404255,0.374468085106383,0.024561403508772,0.371061843640607,0.27063829787234,0.104429451452039,0.465624924060927,3.19,70,C,0.180425531914894,0.090212765957447,Yes,1897.0,2675,0.0006,0.1217,0.056,0.144,0.3672,0.1907,0.1223,0.2,0.5579,1.9648930264963005,Diving,2.175894757609812,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.7031764829279428,0.7749046486265504,0.0106963453178152,0.0206586507512003,48.49796533542646,0.5798300590722469,0.11522661308327753,0.636592741935484,0.24919900320398722,0.059782390559654175,0.927994833710042,0.2934,0.9459734964322121,37.0,0.41333333333333333,0.48428658878120906,0.030799587089198575,0.7310643582321682,0.6533942986777983,1.1230723801221436,0.7681784967100747,0.8825561522311588,0.006197564532020319,0.35693641412287896,2.7252678161975004,0.04219353792550836,1.7532449622236357,1.0000000000000002,0.29800724637681164,0.09025787965616039,1.0,45.6,0.7072010869565217,0.5166908563134978,0.6435643564356437,0.17153996101364524,0.9323501122154536,0.1609446696657882,0.0018403007726872644,0.5485038683170695,0.052334231692767234,0.2396630910831954,0.17279355927062434,0.7266764984168699,0.06598431886622716,0.10692970164718749,0.03805703592582824,0.029135593087437593,0.001715804631925157
34.00099490508586,-118.30369560535108,3.4043443300713805,4.175653922016191,1.5027197913806618,1.737713845406691,2021,0.3026069594852391,0.3026069594852391,0.3031504625293974,0.3170988657734913,1.915526139808702,2.1122008684714344,1.9823729791533704,2.244012648854324,12235584,1221,1419.0,Mediterranean,0.3,0.0908,0.2092,1.0,0.294573643410853,0.119402985074627,0.507970244420829,0.336856941508104,0.091745677635248,0.475363766884273,2.98,65,C,0.233967582804792,0.102889358703312,Yes,2234.0,2675,0.0011,0.144,0.0596,0.1681,0.3633,0.2292,0.1451,0.2277,0.5926,1.8458939525789824,Diving,2.052450730437071,3255,23.8,8.4,5.3,10.6,45.4,50.8,20.1,13.3,15.1,3.0,0.0,70.1,65.4,34273,32.2,20.3,9.5,9.4,34.8,35.2,55.1,-0.83,81.4,9.5,100.0,11.97864156,0.229396662387677,4.1,3190.9,0.340962718263332,0.5436495788061387,0.6144534248236447,0.0120359708914498,0.025295774444022,48.90016569458261,0.6211286889656069,0.23317704844831444,0.7449596774193548,0.3026656577811408,0.1212390228002107,0.8501775912173071,0.32180000000000003,0.25501189262657153,32.2,0.3422222222222223,0.5139026197571837,0.03493058926354683,0.7098094296519197,0.6717618557249184,1.1427617208413838,0.7818937618712947,0.86748196259511,0.0057313051695741,0.27784277484879427,3.4741188154724627,0.06458754701598754,1.7367381946604799,1.0000000000000002,0.27173913043478265,0.2808022922636103,1.0,35.333333333333336,0.49796195652173914,0.6589259796806965,0.7161716171617161,0.18323586744639378,0.8435395960243667,0.1609446696657882,0.0018403007726872644,0.1583952025377805,0.17441435965223345,0.21256404022378553,0.1687849698276106,0.19939220804770869,0.1993161149165849,0.19824190137694928,0.09031818331588276,0.008907715678658477,0.0015523665703559449
34.00099490508586,-118.30194943101996,3.3133298130545,4.143499654764571,1.558555586667962,1.8021178477598232,2021,0.1643962106454584,0.2102420195115883,0.1742353033651792,0.1843641872795326,1.9153144859194255,2.165840755177991,2.0276121923604156,2.199160772628169,12235584,1221,1419.0,Mediterranean,0.3,0.0908,0.2092,1.0,0.294573643410853,0.119402985074627,0.507970244420829,0.336856941508104,0.091745677635248,0.475363766884273,2.98,65,C,0.233967582804792,0.102889358703312,Yes,2234.0,2675,0.0011,0.144,0.0596,0.1681,0.3633,0.2292,0.1451,0.2277,0.5926,1.7337486347819004,Diving,1.9346617525465817,3255,23.8,8.4,5.3,10.6,45.4,50.8,20.1,13.3,15.1,3.0,0.0,70.1,65.4,34273,32.2,20.3,9.5,9.4,34.8,35.2,55.1,-0.83,81.4,9.5,100.0,11.97864156,0.229396662387677,4.1,3190.9,0.340962718263332,0.385616521797275,0.4546788658224799,0.0047726358074713,0.0079263928262763,48.465292668700606,0.5764751730309436,0.23317704844831444,0.7449596774193548,0.3026656577811408,0.1212390228002107,0.8501775912173071,0.32180000000000003,0.25501189262657153,32.2,0.3422222222222223,0.5453310126766292,0.03931438936126496,0.6896768281299142,0.6973415711736586,1.1009237478627973,0.7527501302285885,0.9001517898269857,0.006741814734873373,0.19519457880237315,4.873423098390524,0.10643303144794136,1.6820402343625471,1.0000000000000002,0.27173913043478265,0.2808022922636103,1.0,35.333333333333336,0.49796195652173914,0.6589259796806965,0.7161716171617161,0.18323586744639378,0.8435395960243667,0.16094466966657003,0.0018403008077880756,0.14700802492685125,0.16187555002015036,0.19728261477058967,0.1566508622366695,0.19196023538449056,0.19366283425997588,0.19824190137694928,0.09031818331588276,0.010025636838474126,0.001552366599964869
34.00099490508586,-118.30020325668885,3.227818281339771,4.069265986801615,1.6285157075744423,1.877436044220978,2021,0.0030784921174317,0.1025175075220325,0.06080356409009,0.0859001345338959,1.9150458628114728,2.219518102853321,2.0740334354492234,2.163601249487042,12235584,1221,1419.0,Mediterranean,0.3,0.0908,0.2092,1.0,0.294573643410853,0.119402985074627,0.507970244420829,0.336856941508104,0.091745677635248,0.475363766884273,2.98,65,C,0.233967582804792,0.102889358703312,Yes,2234.0,2675,0.0011,0.144,0.0596,0.1681,0.3633,0.2292,0.1451,0.2277,0.5926,1.6298724302855927,Diving,1.8236315893452524,3255,23.8,8.4,5.3,10.6,45.4,50.8,20.1,13.3,15.1,3.0,0.0,70.1,65.4,34273,32.2,20.3,9.5,9.4,34.8,35.2,55.1,-0.83,81.4,9.5,100.0,11.97864156,0.229396662387677,4.1,3190.9,0.340962718263332,0.2321483970011325,0.2968688797228257,0.026525686888852,0.037118189272812,48.63869628906252,0.5942805572790348,0.23317704844831444,0.7449596774193548,0.3026656577811408,0.1212390228002107,0.8501775912173071,0.32180000000000003,0.25501189262657153,32.2,0.3422222222222223,0.5780773093394553,0.04388201771179332,0.6707614984662993,0.7293919785572938,1.0674184997696567,0.7294109352579395,0.9281444491753128,0.007607654943604238,0.12933704194499224,7.176842468026427,0.175315618708631,1.6390458510014347,1.0000000000000002,0.27173913043478265,0.2808022922636103,1.0,35.333333333333336,0.49796195652173914,0.6589259796806965,0.7161716171617161,0.18323586744639378,0.8435395960243667,0.16094466966657003,0.0018403008077880756,0.15154860966290032,0.16687534273164875,0.20337601293549198,0.16148928186930298,0.1860084631026448,0.18835136633151098,0.19824190137694928,0.09031818331588276,0.01119043638895715,0.001552366599964869
34.00099490508586,-118.29845708235771,3.1482581755131687,3.9358335275283216,1.710868332339472,1.9626011827784784,2021,0.1582392354535598,0.2058164207931784,0.1585952020494056,0.1775179235566291,1.91393901887731,2.272593597263372,2.0172915846492727,2.1376385477729394,12235584,1019,1089.0,Mediterranean,0.3,0.1275,0.1725,0.947658402203857,0.408952187182096,0.106623586429725,0.55793991416309,0.358126721763085,0.091745677635248,0.475363766884273,0.84,71,C,0.17722681359045,0.180899908172635,Yes,1823.0,2675,0.0008,0.193,0.0481,0.22,0.3124,0.2908,0.1938,0.2681,0.6013,1.535943981876522,Diving,1.7206723216269657,3255,23.8,8.4,5.3,10.6,45.4,50.8,20.1,13.3,15.1,3.0,0.0,70.1,65.4,34273,32.2,20.3,9.5,9.4,34.8,35.2,55.1,-0.83,81.4,9.5,100.0,11.97864156,0.229396662387677,4.1,3190.9,0.340962718263332,0.1055139498083484,0.1497223941334028,0.0315376494755641,0.0331330062927555,48.50368414462784,0.5804172763117688,0.23317704844831444,0.5599798387096775,0.4249985833380556,0.1212390228002107,0.682596060703907,0.3544,0.25501189262657153,32.2,0.3422222222222223,0.6112678741315717,0.04851161495375011,0.6531626366566112,0.7671196888389716,1.0879433933493392,0.7437082325552576,0.9107937677455691,0.00707098147347001,0.06852579964195625,12.734668154409995,0.3415195752562972,1.6725739033006821,1.0000000000000002,0.27173913043478265,0.2808022922636103,1.0,35.333333333333336,0.49796195652173914,0.6589259796806965,0.7161716171617161,0.18323586744639378,0.7140109009297851,0.16094466966657003,0.0018403008077880756,0.14801330814542388,0.16298250165774594,0.19863169011558315,0.15772208595428502,0.18965444394587866,0.18340956559412006,0.15916573471738352,0.0678914084329809,0.012371038743727305,0.0013139948377505753
34.00099490508586,-118.2967109080266,3.075111460941783,3.8045841363237938,1.803917026639719,2.056548810921983,2021,0.3003521056219816,0.3003527901731143,0.292352240510848,0.3112424428754215,1.913298810486298,2.326091523147694,1.9721441363766048,2.1215656420490365,12235584,1019,1089.0,Mediterranean,0.3,0.1275,0.1725,0.947658402203857,0.408952187182096,0.106623586429725,0.55793991416309,0.358126721763085,0.091745677635248,0.475363766884273,0.84,71,C,0.17722681359045,0.180899908172635,Yes,1823.0,2675,0.0008,0.193,0.0481,0.22,0.3124,0.2908,0.1938,0.2681,0.6013,1.4538925882154996,Diving,1.6273097453790564,3255,23.8,8.4,5.3,10.6,45.4,50.8,20.1,13.3,15.1,3.0,0.0,70.1,65.4,34273,32.2,20.3,9.5,9.4,34.8,35.2,55.1,-0.83,81.4,9.5,100.0,11.97864156,0.229396662387677,4.1,3190.9,0.340962718263332,0.0544121285215698,0.062589247103127,0.0439978401814608,0.0502103317099601,48.28908062981501,0.5583814155018381,0.23317704844831444,0.5599798387096775,0.4249985833380556,0.1212390228002107,0.682596060703907,0.3544,0.25501189262657153,32.2,0.3422222222222223,0.6435451250516655,0.05301381829899441,0.6369824304062561,0.809747524814624,1.1322481884437263,0.774570211191203,0.875466479279311,0.0059782740447509,0.049204984351515296,16.89046979664316,0.4657967142926387,1.7237935760307834,1.0000000000000002,0.27173913043478265,0.2808022922636103,1.0,35.333333333333336,0.49796195652173914,0.6589259796806965,0.7161716171617161,0.18323586744639378,0.7140109009297851,0.16094466966657003,0.0018403008077880756,0.14239390157462775,0.15679478143031556,0.19109052886062908,0.15173408029941254,0.19752461552803188,0.17886612658972234,0.15916573471738352,0.0678914084329809,0.013519154139787735,0.0013139948377505753
34.00099490508586,-118.29496473369548,3.0088459133156404,3.675678757671097,1.9060960035954535,2.1582585506310212,2021,0.2995545264123038,0.299557603116946,0.3025813574954396,0.3100487644142258,1.9127610473466763,2.3795216270807917,1.9394009804212031,2.1156534264774964,12235584,964,1219.0,Mediterranean,0.3,0.0944,0.2056,0.990155865463495,0.554266777133389,0.096938775510204,0.5810635538262,0.367514356029532,0.091745677635248,0.475363766884273,1.42,63,C,0.231337161607875,0.136177194421657,Yes,2338.0,2675,0.0008,0.1547,0.0621,0.1793,0.3862,0.224,0.1556,0.2414,0.6101,1.3858294869464314,Diving,1.54525916511236,3255,23.8,8.4,5.3,10.6,45.4,50.8,20.1,13.3,15.1,3.0,0.0,70.1,65.4,34273,32.2,20.3,9.5,9.4,34.8,35.2,55.1,-0.83,81.4,9.5,100.0,11.97864156,0.229396662387677,4.1,3190.9,0.340962718263332,0.1155787205835628,0.1498123219558094,0.0516087245485289,0.0578366711510068,48.03096566298531,0.5318777233932535,0.23317704844831444,0.7268145161290323,0.3146656177812741,0.1212390228002107,0.8140135615111398,0.33569999999999994,0.25501189262657153,32.2,0.3422222222222223,0.6730247372160632,0.05712579204891593,0.6223243526762257,0.856558162003946,1.1209911689583214,0.7667287598511651,0.8841802017968289,0.006247797966344344,0.08359372256604586,10.684477255345138,0.28020965689426247,1.7391744248021777,1.0000000000000002,0.27173913043478265,0.2808022922636103,1.0,35.333333333333336,0.49796195652173914,0.6589259796806965,0.7161716171617161,0.18323586744639378,0.7996152613016992,0.16094466966657003,0.0018403008077880756,0.13563514488842565,0.14935248393277603,0.1820203764501357,0.14453199005251455,0.19552495218086965,0.1747501047629516,0.18980927967006803,0.08811828169249185,0.014567756348186002,0.0014715326112931903
