latitude,longitude,env_exposure_index,canopy_gap,cva_population,cva_sovi_score
34.459833390026546,-118.03048791103971,0.7096483505610325,0.1056999999999999,173.0,-9.97
33.80854762714665,-117.92540081515855,0.7279580661428597,0.2157,3494.0,-0.93
33.83025715257598,-118.81864113014854,0.6675211274789131,0.0515999999999999,3494.0,-0.93
34.416414339167886,-118.1093032329506,0.7061829424524648,0.0274999999999999,173.0,-9.97
33.98222383058129,-118.81864113014854,0.6675211274789131,0.0515999999999999,3494.0,-0.93
34.524961966314535,-117.92540081515855,0.6412828993049426,0.1056999999999999,8055.0,0.17
33.80854762714665,-117.7152266233962,0.6648983969598906,-0.1259,3494.0,-0.93
34.39470481373856,-118.89745645205942,0.6932437145883931,0.2011,3494.0,-0.93
33.98222383058129,-118.6084669383862,0.679726235619548,0.0562999999999999,3494.0,-0.93
34.546671491743865,-118.68728226029708,0.5701847309488537,0.1213999999999999,2966.0,-2.78
34.74205722060783,-118.66101048632676,0.5979962044608246,0.1213999999999999,1840.0,-0.93
34.698638169749174,-118.5821951644159,0.5411602422332418,0.1213999999999999,5387.0,3.06
34.546671491743865,-118.1618467808912,0.7409303719307395,0.2784,1367.0,2.14
34.568381017173195,-118.29320565074266,0.7409303719307395,0.2784,1023.0,0.32
34.611800068031854,-118.21439032883178,0.5666790267121248,0.0095999999999999,3608.0,-0.38
34.78547627146649,-117.92540081515855,0.691900793592668,0.0838,3494.0,-0.93
33.96051430515196,-118.5821951644159,0.6940502505310471,-0.0917,3494.0,-0.93
34.11248098315727,-118.76609758220796,0.6834409043438435,0.0973999999999999,6669.0,-2.65
34.04735240686928,-118.31947742471296,0.6909603133557751,0.1686,4340.0,4.64
34.32957623745057,-117.97794436309914,0.7008788938830678,-0.0019,795.0,-3.19
33.72170952542933,-117.84658549324767,0.6521417274470702,0.0312999999999999,3494.0,-0.93
34.459833390026546,-118.1093032329506,0.7061829424524648,0.0274999999999999,173.0,-9.97
34.546671491743865,-118.08303145898032,0.6042083821388544,0.0274999999999999,5862.0,-0.19
33.72170952542933,-118.05675968501002,0.6749320756848642,0.2581,3494.0,-0.93
34.17760955944526,-118.45083629456444,0.6413347104511455,0.1299,4265.0,0.22
33.83025715257598,-118.26693387677236,0.7835760907637171,0.19,6337.0,2.59
34.00393335601062,-118.92372822602972,0.6675211274789131,0.0515999999999999,3494.0,-0.93
34.3512857628799,-117.7414983973665,0.6790203916397765,0.0512999999999999,795.0,-3.19
33.96051430515196,-118.5296516164753,0.765736113441852,0.1061,3494.0,-0.93
34.3512857628799,-118.03048791103971,0.6874314337199579,-0.0706,795.0,-3.19
33.74341905085866,-117.84658549324767,0.7279580661428597,0.2157,3494.0,-0.93
34.39470481373856,-117.97794436309914,0.7096483505610325,0.1056999999999999,173.0,-9.97
34.524961966314535,-117.82031371927738,0.6626574397213741,0.1056999999999999,4380.0,1.29
34.06906193229861,-118.81864113014854,0.6458657256919016,0.0515999999999999,2812.0,-2.55
33.9170952542933,-118.1355750069209,0.6728176634686565,0.2372,4027.0,1.03
33.83025715257598,-117.92540081515855,0.7279580661428597,0.2157,3494.0,-0.93
33.96051430515196,-118.00421613706943,0.4582678910062961,-0.0367,4815.0,-1.32
33.80854762714665,-118.73982580823764,0.6698018667558561,-0.04,3494.0,-0.93
33.78683810171732,-118.31947742471296,0.7107051445656867,0.1626,6742.0,-0.86
34.19931908487459,-117.92540081515855,0.6851679149701421,-0.0796,795.0,-3.19
34.76376674603716,-117.7677701713368,0.691900793592668,0.0838,588.0,4.13
34.11248098315727,-117.79404194530709,0.4423575012510198,0.2027,3215.0,1.15
34.1341905085866,-118.26693387677236,0.6781023368035337,0.0882999999999999,3963.0,-2.03
34.524961966314535,-118.71355403426736,0.5701847309488537,0.1213999999999999,2966.0,-2.78
34.698638169749174,-117.89912904118826,0.691900793592668,0.0838,1151.0,4.75
34.1341905085866,-117.84658549324767,0.5138607029803935,0.1785999999999999,5605.0,2.95
34.568381017173195,-118.1093032329506,0.5472309424497174,0.0973,4750.0,2.22
33.7,-118.37202097265354,0.6777895048343304,0.0514999999999999,3494.0,-0.93
33.7,-118.45083629456444,0.6777895048343304,0.0514999999999999,3494.0,-0.93
34.1341905085866,-118.21439032883178,0.6318560413723947,0.0348,4666.0,0.32
