latitude,longitude,canopy_gap,canopy_percent_of_goal,tree_percent_w,pm25,env_exposure_index,avg_transport_access,lashade_pctpov,lashade_health_nor,lashade_seniorperc,lashade_pctpoc
33.7,-118.95,0.05159999999999998,0.8279972400092,0.0,9.867044703,0.6675211274789131,48.54507074704846,0.046059365404299,0.260522423095287,0.277379733879222,0.373080859774821
33.7,-118.92372822602972,0.05159999999999998,0.8279972400092,0.0,9.867044703,0.6675211274789131,47.11890322979068,0.046059365404299,0.260522423095287,0.277379733879222,0.373080859774821
33.7,-118.89745645205942,0.05159999999999998,0.8279972400092,0.0,9.867044703,0.6675211274789131,45.74715790545206,0.046059365404299,0.260522423095287,0.277379733879222,0.373080859774821
33.7,-118.87118467808912,0.05159999999999998,0.8279972400092,0.0,9.867044703,0.6675211274789131,44.34744135591817,0.046059365404299,0.260522423095287,0.277379733879222,0.373080859774821
33.7,-118.84491290411884,0.05159999999999998,0.8279972400092,0.0,9.867044703,0.6675211274789131,43.03462616487636,0.046059365404299,0.260522423095287,0.277379733879222,0.373080859774821
33.7,-118.81864113014854,0.05159999999999998,0.8279972400092,0.0,9.867044703,0.6675211274789131,41.81413770332475,0.046059365404299,0.260522423095287,0.277379733879222,0.373080859774821
33.7,-118.79236935617824,0.05159999999999998,0.8279972400092,0.0,9.867044703,0.6675211274789131,40.56230106033022,0.046059365404299,0.260522423095287,0.277379733879222,0.373080859774821
33.7,-118.76609758220796,0.05149999999999999,0.828330572231426,0.0,9.867044703,0.6777895048343304,38.74260395852227,0.027359017308766,0.220443333833768,0.347870702924577,0.553617239610056
33.7,-118.73982580823764,0.05149999999999999,0.828330572231426,0.0,9.867044703,0.6777895048343304,36.67670704085638,0.027359017308766,0.220443333833768,0.347870702924577,0.553617239610056
33.7,-118.71355403426736,0.05149999999999999,0.828330572231426,0.0,9.867044703,0.6777895048343304,34.521463950759795,0.027359017308766,0.220443333833768,0.347870702924577,0.553617239610056
33.7,-118.68728226029708,0.05149999999999999,0.828330572231426,0.0,9.867044703,0.6777895048343304,32.27685577644631,0.027359017308766,0.220443333833768,0.347870702924577,0.553617239610056
33.7,-118.66101048632676,0.05149999999999999,0.828330572231426,0.0,9.867044703,0.6777895048343304,30.05756594658423,0.027359017308766,0.220443333833768,0.347870702924577,0.553617239610056
