latitude,longitude,dist_to_ac_1,install_year_hydro_3,dist_to_busline_1,dist_to_metroline_1,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_bld1800,lashade_veg1800,lashade_tot1800,closest_venue_sport,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,tree_percent_w,canopy_gap,canopy_percent_of_goal,avg_transport_access
34.676928644319844,-117.97794436309914,55.881901775576665,2020,55.410681386872014,58.86252127476073,359559.0,927.0,909.0,Desert,0.15,0.1046,0.0454,0.536853685368537,0.600660066006601,0.0,0.771929824561403,0.435643564356436,0.031820697288323,0.462954463310251,6.34,92.0,C,0.374037403740374,0.061606160616062,Yes,38.0,86.0,0.0006,0.1451,0.025,0.2422,0.1986,0.4402,Football (Soccer),1151.0,30.4,20.7,22.8,7.8,21.9,51.4,15.8,9.0,3.4,1.8,10.5,48.3,19.2,44643.0,20.9,1.4,7.1,8.2,13.9,34.5,64.4,4.75,119.0,14.7,0.0,9.867044703,1.7,0.045399999999999996,0.6973286844754368,56.49106365529365
34.676928644319844,-117.95167258912883,57.27980269024568,2020,56.63407933171451,59.14942242836443,359559.0,927.0,909.0,Desert,0.15,0.1046,0.0454,0.536853685368537,0.600660066006601,0.0,0.771929824561403,0.435643564356436,0.031820697288323,0.462954463310251,6.34,92.0,C,0.374037403740374,0.061606160616062,Yes,38.0,86.0,0.0006,0.1451,0.025,0.2422,0.1986,0.4402,Equestrian,1151.0,30.4,20.7,22.8,7.8,21.9,51.4,15.8,9.0,3.4,1.8,10.5,48.3,19.2,44643.0,20.9,1.4,7.1,8.2,13.9,34.5,64.4,4.75,119.0,14.7,0.0,9.867044703,1.7,0.045399999999999996,0.6973286844754368,57.41407760668145
34.676928644319844,-117.92540081515855,58.74364853129287,2021,57.83608049606798,59.528749274036834,359559.0,927.0,909.0,Desert,0.15,0.1046,0.0454,0.536853685368537,0.600660066006601,0.0,0.771929824561403,0.435643564356436,0.031820697288323,0.462954463310251,6.34,92.0,B,0.374037403740374,0.061606160616062,Yes,38.0,86.0,0.0006,0.1451,0.025,0.2422,0.1986,0.4402,Equestrian,1151.0,30.4,20.7,22.8,7.8,21.9,51.4,15.8,9.0,3.4,1.8,10.5,48.3,19.2,44643.0,20.9,1.4,7.1,8.2,13.9,34.5,64.4,4.75,119.0,14.7,0.0,9.867044703,0.0,0.045399999999999996,0.6973286844754368,58.411643490361634
34.676928644319844,-117.89912904118826,60.26863424884133,2021,58.64754498660664,59.89846374955337,359559.0,927.0,909.0,Desert,0.15,0.1046,0.0454,0.536853685368537,0.600660066006601,0.0,0.771929824561403,0.435643564356436,0.031820697288323,0.462954463310251,6.34,92.0,B,0.374037403740374,0.061606160616062,Yes,38.0,86.0,0.0006,0.1451,0.025,0.2422,0.1986,0.4402,Equestrian,1151.0,30.4,20.7,22.8,7.8,21.9,51.4,15.8,9.0,3.4,1.8,10.5,48.3,19.2,44643.0,20.9,1.4,7.1,8.2,13.9,34.5,64.4,4.75,119.0,14.7,0.0,9.867044703,0.0,0.045399999999999996,0.6973286844754368,59.215165954932765
34.676928644319844,-117.87285726721797,61.85023749645857,2021,59.47658771462812,59.91369576352162,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Equestrian,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,59.992055731297974
34.676928644319844,-117.84658549324767,63.484226719737514,2021,60.192579275626194,60.02620064061448,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Equestrian,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,60.786292129067625
34.676928644319844,-117.82031371927738,65.16666135327725,2021,60.995853107582754,60.23543333089871,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Equestrian,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,61.65976438381415
34.676928644319844,-117.79404194530709,66.89388606576588,2021,61.88301034245428,60.54039093031999,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Equestrian,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,62.60934115176648
34.676928644319844,-117.7677701713368,68.66252070804241,2021,62.850498889798445,60.939636339408,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Equestrian,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,63.63250314326185
34.676928644319844,-117.7414983973665,70.46944732856643,2021,63.89466967730501,61.43120573844702,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Cricket,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,64.71856746707327
34.676928644319844,-117.7152266233962,72.31179534821564,2021,65.01182790523308,62.01242906117316,359559.0,2343.0,2341.0,Desert,0.15,0.1029,0.0471,0.917983767620675,0.256727894062367,0.053949903660886,0.503532434168272,0.334899615548911,0.147977573087705,0.263523312550827,-6.09,92.0,C,0.221272960273387,0.113626655275523,Yes,25.0,80.0,0.0005,0.1682,0.0304,0.2184,0.2623,0.4806,Cricket,588.0,19.3,28.2,28.5,12.1,43.1,53.2,6.6,21.1,9.9,0.0,19.1,55.3,36.7,25938.0,32.9,16.8,18.5,5.2,24.0,44.5,64.0,4.13,108.4,13.5,0.0,9.867044703,0.0,0.04709999999999999,0.6859954266971554,65.86575432531392
