latitude,longitude,env_exposure_index,canopy_gap,cva_population,cva_sovi_score
34.633509593461184,-117.95167258912883,0.5495329748475627,0.0470999999999999,6316.0,0.81
34.82889532232515,-118.34574919868324,0.7241929090734076,0.0977,3494.0,-0.93
34.19931908487459,-118.81864113014854,0.6880344387144541,0.1682,3494.0,-0.93
33.93880477972263,-118.24066210280208,0.6802278024460808,0.2002,5945.0,0.93
34.30786671202124,-118.21439032883178,0.7091407368270997,0.0281,419.0,-1.5
34.546671491743865,-118.5821951644159,0.5411602422332418,0.1213999999999999,5387.0,3.06
34.32957623745057,-118.66101048632676,0.6928048872090936,-0.1126,3494.0,-0.93
34.74205722060783,-118.37202097265354,0.5735614338944781,0.0977,1840.0,-0.93
34.00393335601062,-118.5821951644159,0.6940502505310471,-0.0917,3494.0,-0.93
34.82889532232515,-118.29320565074266,0.7241929090734076,0.0977,3494.0,-0.93
34.26444766116258,-118.81864113014854,0.6880344387144541,0.1682,3494.0,-0.93
34.524961966314535,-118.95,0.7486276796397541,0.1213999999999999,3494.0,-0.93
34.06906193229861,-117.82031371927738,0.4025043866387427,0.0956999999999999,2183.0,-1.38
34.15590003401593,-118.05675968501002,0.4968541967258856,-0.1042,4456.0,-3.07
34.78547627146649,-118.63473871235648,0.5979962044608246,0.1213999999999999,1840.0,-0.93
34.26444766116258,-117.68895484942593,0.6790203916397765,0.0512999999999999,795.0,-3.19
34.459833390026546,-118.24066210280208,0.7399798971695238,0.2784,4687.0,-0.43
34.04735240686928,-118.6084669383862,0.7133809201076584,0.0562999999999999,3150.0,-4.85
33.80854762714665,-118.71355403426736,0.6698018667558561,-0.04,3494.0,-0.93
34.09077145772794,-117.7152266233962,0.5169642490124859,0.0988,3976.0,0.72
34.78547627146649,-118.29320565074266,0.6084066856352999,0.0977,3985.0,2.91
33.9170952542933,-117.84658549324767,0.6603822814808658,0.011,3494.0,-0.93
34.19931908487459,-118.1355750069209,0.2437458149686118,-0.0706,5840.0,-2.95
34.30786671202124,-118.71355403426736,0.6915758205897131,-0.034,3494.0,-0.93
34.438123864597216,-118.08303145898032,0.7061829424524648,0.0274999999999999,173.0,-9.97
33.87367620343464,-118.79236935617824,0.6675211274789131,0.0515999999999999,3494.0,-0.93
33.72170952542933,-118.68728226029708,0.6777895048343304,0.0514999999999999,3494.0,-0.93
34.04735240686928,-117.68895484942593,0.7043576289986812,0.1429,3494.0,-0.93
34.568381017173195,-117.7677701713368,0.7059868264132895,0.0470999999999999,588.0,4.13
34.676928644319844,-118.34574919868324,0.5735614338944781,0.0977,1840.0,-0.93
33.78683810171732,-118.5296516164753,0.6803742326597706,0.0095,3494.0,-0.93
33.72170952542933,-117.84658549324767,0.6521417274470702,0.0312999999999999,3494.0,-0.93
33.80854762714665,-118.84491290411884,0.6675211274789131,0.0515999999999999,3494.0,-0.93
34.37299528830923,-118.45083629456444,0.6887074813272911,0.1417,419.0,-1.5
33.87367620343464,-118.05675968501002,0.5965405696997176,0.1088,6231.0,-0.74
33.98222383058129,-118.39829274662384,0.6589278531509193,0.1412999999999999,5436.0,-1.11
34.633509593461184,-118.08303145898032,0.6097047597389035,0.1415,3494.0,-0.93
34.633509593461184,-118.1618467808912,0.5564113877376337,0.0701,5925.0,-1.82
34.78547627146649,-117.7677701713368,0.691900793592668,0.0838,588.0,4.13
34.09077145772794,-118.42456452059412,0.6002981572319184,-0.2314999999999999,3695.0,-3.7
34.546671491743865,-117.7152266233962,0.6626574397213741,0.1056999999999999,4380.0,1.29
34.30786671202124,-118.24066210280208,0.6781562256084563,-0.0206999999999999,419.0,-1.5
34.30786671202124,-118.08303145898032,0.6874314337199579,-0.0706,795.0,-3.19
34.590090542602525,-117.95167258912883,0.5495329748475627,0.0470999999999999,6316.0,0.81
34.546671491743865,-118.1355750069209,0.6809048495694724,0.0973,1367.0,2.14
34.37299528830923,-118.47710806853472,0.6974049746247971,0.1626999999999999,419.0,-1.5
34.546671491743865,-118.95,0.7486276796397541,0.1213999999999999,3494.0,-0.93
34.32957623745057,-118.1618467808912,0.7091407368270997,0.0281,419.0,-1.5
34.80718579689582,-118.68728226029708,0.5979962044608246,0.1213999999999999,1840.0,-0.93
34.15590003401593,-118.42456452059412,0.6384088490304807,0.0542999999999999,4896.0,-0.1
