rank,index,latitude,longitude,reward,heat_vulnerability,population_impact,accessibility,equity,coverage_efficiency
1,825,34.04735240686928,-118.29320565074266,0.6658296052172527,0.8140542576729031,0.47579337461269033,0.2524839548614,0.827264520995694,1.0
2,616,33.96051430515196,-118.5296516164753,0.5863022777452337,0.6898430857752429,0.39006280532386967,0.4637537384389048,0.5185229041806373,1.0
3,1947,34.524961966314535,-117.7152266233962,0.624749975907088,0.6520725126187952,0.242716164444993,0.8208004472198432,0.7515032553085669,1.0
4,1306,34.26444766116258,-118.79236935617824,0.5891594505353026,0.7523946193719541,0.2452158674957583,0.5551505108834578,0.5416319349910698,1.0
5,2534,34.78547627146649,-118.05675968501002,0.5910238856193891,0.7212197157171721,0.20443148071973571,0.6559636280370397,0.5939638048859267,1.0
6,1096,34.15590003401593,-117.7414983973665,0.5580821873030419,0.704716411635359,0.2425634908709936,0.6147221939317907,0.3905482761543286,1.0
7,1264,34.24273813573325,-118.5821951644159,0.5711260016906875,0.7327017457767763,0.3977469517076283,0.25598124693706215,0.5123097713423289,1.0
8,236,33.78683810171732,-118.00421613706943,0.5307452093081885,0.5781733264886325,0.27971070068647985,0.6322341084406754,0.42414502399630544,1.0
9,777,34.02564288143995,-118.24066210280208,0.6410529990313127,0.7926656311838479,0.4245490264760058,0.3475356382735577,0.7023495050462057,1.0
10,291,33.80854762714665,-117.87285726721797,0.5939753543237491,0.7318648846269077,0.24709435520172557,0.6511916492743968,0.5224687234182707,1.0
11,22,33.7,-118.37202097265354,0.5604003702088298,0.6056541542625262,0.3362457933966381,0.5387199576158557,0.557013161502719,1.0
12,796,34.02564288143995,-117.7414983973665,0.6704410050235582,0.7153787081853166,0.3227365857209579,0.795827996289242,0.8000007419004778,1.0
13,1524,34.3512857628799,-118.31947742471296,0.5332640812970396,0.6535854694170928,0.18101319520980647,0.4586321254090565,0.6030736625816473,1.0
14,2601,34.82889532232515,-118.92372822602972,0.5840209222267341,0.7275048359454787,0.20409658824366217,0.6561250264251508,0.5330088574741892,1.0
15,830,34.04735240686928,-118.1618467808912,0.5758016897993904,0.6312839690052094,0.4994087619855323,0.22625413335748562,0.640413267650408,1.0
16,2447,34.74205722060783,-117.7152266233962,0.646189493637869,0.7212197157171721,0.13658138571296677,0.9131532103889279,0.8176284343351862,1.0
